Title,Subtitle,Location,Time
Scientific Programmer or Research Software Engineers,Jülich Research Centre (FZJ),"Jülich, Germany",6 months ago
1 PhD Student (m/f/d) – Cellular and genomic alterations induced by…,Ulm University,"Ulm, Germany",6 days ago
Scientist P21.2 / PETRA III,German Electron Synchrotron (DESY),"Hamburg, Germany",2 months ago
Postdoctoral positions in the research group Synaptic Transmission in…,Max Planck Institute for Metabolism Research,"Cologne, Germany",2 months ago
Scientist P21.2 / PETRA III,German Electron Synchrotron (DESY),"Hamburg, Germany",8 months ago
PhD candidate for the development of instrumentation for…,Helmholtz Munich,"Neuherberg (bei München), Germany",1 month ago
PhD candidate Molecular Allergology (f/m/x),Helmholtz Munich,"München, Germany",1 week ago
Electronic Engineer (f/m/d) / Master / Bachelor of Science in…,Helmholtz-Zentrum Dresden-Rossendorf (HZDR),"Schenefeld, Germany",1 month ago
PhD Position - Modelling Human Brain Development at the Cellular Level,Jülich Research Centre (FZJ),"Jülich, Germany",2 months ago
Research Assistant (f/m/d) - Molecular Interactions,Evotec SE,"Hamburg, Germany",2 months ago
PostDoc (f/m/d) Data-intensive research on riverine biodiversity and…,Helmholtz-Zentrum Dresden-Rossendorf (HZDR),"Görlitz, Germany",4 weeks ago
Postdoc (f/m/x) in genomic surveillance of airborne pathogens,Helmholtz Zentrum München - German Research Center for Environmental Health (HMGU),"85764 Neuherberg bei München, Germany",4 hours ago
PhD Student (m/f/d),Essen University Hospital,"Essen, Germany",3 weeks ago
PhD candidate in organoid-based lung disease modeling (f/m/x),Helmholtz Munich,"Neuherberg (bei München), Germany",2 weeks ago
Computer Scientist for Software Development for the Cherenkov…,German Electron Synchrotron (DESY),"Zeuthen, Berlin, Germany",1 month ago
"Master thesis - Computer Science, Electrical Engineering,…",Jülich Research Centre (FZJ),"Jülich, Germany",3 months ago
Eventmanager for Helmholtz AI (f/m/x),Helmholtz Munich,"Neuherberg (bei München), Germany",1 month ago
"PostDoc position (m/f/d) in ""Baselines and Biofutures"" (HIPP Pos…",Alfred Wegener Institute - Helmholtz Centre for Polar and Marine Research (AWI),"Oldenburg, Germany",2 months ago
Data Scientist for additive manufacturing (m/f/d) in the field of…,Federal Institute for Materials Research and Testing (BAM),"Berlin, Germany",1 day ago
ERC-funded Postdoctoral and PhD Student positions (f/m/d) in…,University of Würzburg,"Würzburg, Germany",2 weeks ago
Postdoc in AI for medical imaging (f/m/x),Helmholtz Munich,"Neuherberg (bei München), Germany",1 month ago
Lab Manager / Scientist (f/m/x),Helmholtz Munich,"Neuherberg (bei München), Germany",1 week ago
Principal Scientist (f/m/d) – High Sensitivity Proteomics,Evotec SE,"Munich, Germany",7 months ago
"Junior Group Leader (male/female/diverse) ""Chromosome…",University of Würzburg,"Würzburg, Germany",1 week ago
Postdoc (f/m/d) Plasma Physics at X-ray Free Electron Lasers /…,Helmholtz-Zentrum Dresden-Rossendorf (HZDR),"Dresden Rossendorf, Germany",2 weeks ago
Scientist for ultrafast pump-probe laser development,German Electron Synchrotron (DESY),"Hamburg, Germany",5 days ago
PhD candidate in single-cell and quantitative stem cell biology…,Helmholtz Munich,"Oldenburg, Germany",2 weeks ago
Postdoctoral fellow in single-cell and quantitative stem cell biology…,Helmholtz Munich,"Oldenburg, Germany",1 week ago
Science Manager (f/m/x),Helmholtz Munich,"Neuherberg (bei München), Germany",2 months ago
"W3 - Professorship for ""Biological Data Science"" (f/m/d)…",University of Göttingen,"Göttingen, Germany",6 days ago
Postdoctoral Positions in the Research Group Synaptic Transmission in…,Max Planck Institute for Metabolism Research,"Köln, Germany",5 months ago
Postdoctoral positions in the research group Synaptic Transmission in…,Max Planck Institute for Metabolism Research,"Cologne, Germany",2 months ago
PhD candidate for computational methods in cardio-metabolic imaging…,Helmholtz Munich,"Neuherberg (bei München), Germany",1 month ago
PhD candidate in computational medical imaging (f/m/x),Helmholtz Munich,"Neuherberg (bei München), Germany",1 month ago
PhD Position - Nanoscale study of superconductors for qubits,Jülich Research Centre (FZJ),"Jülich, Germany",1 month ago
Fully funded PhD positions,Max Planck Institute of Biophysics (MPIBP),"Frankfurt am Main, Germany",4 months ago
Department Director (m/f/div),Max Planck Institute of Molecular Physiology,"Dortmund, Germany",5 months ago
Research Associate Junior/Post Doc (f/m/d) for - Collaborative…,Universitätsklinikum Hamburg-Eppendorf ,"Hamburg, Germany",2 weeks ago
PostDoc (f/m/d) Quantifying encounter rates from animal tracking data…,Helmholtz-Zentrum Dresden-Rossendorf (HZDR),"Görlitz, Germany",2 weeks ago
PhD student in cellulose-based sustainable sprayed green electronics,German Electron Synchrotron (DESY),"Hamburg, Germany",6 months ago
PhD position (m/f/d),Max-Born-Institute for Nonlinear Optics and Short Pulse Spectroscopy (MBI),"Berlin, Germany",1 week ago
Post-doctoral Fellow at Dynamics Beamline P01,German Electron Synchrotron (DESY),"Hamburg, Germany",1 week ago
PostDoc (f/m/d) AI-driven decision for treatment clearance in…,Helmholtz-Zentrum Dresden-Rossendorf (HZDR),"Görlitz, Germany",2 weeks ago
Postdoc (f/m/d) AI-driven decision for treatment intervention in…,Helmholtz-Zentrum Dresden-Rossendorf (HZDR),"Görlitz, Germany",2 weeks ago
Scientific Coordinator (m/f/div),Max Planck Institute for Biology of Ageing (MPIAGE),"Köln, Germany",2 months ago
Senior Research Assistant (f/m/d) Biophysics,Evotec SE,"Hamburg, Germany",4 months ago
PhD candidate – Metabolism and Epigenetics (f/m/x),Helmholtz Munich,"Neuherberg (bei München), Germany",2 months ago
Group leader in Innate Immunology & Allergology (f/m/x)…,Helmholtz Munich,"München, Germany",6 days ago
3 Research Associates (m/f/x),Technische Universität Dresden (TU Dresden),"01069 Dresden, Germany",1 week ago
W3 Professorship for Data Science in Mechanical Engineering…,Karlsruhe Institute of Technology (KIT),"Karlsruhe, Germany",1 month ago
Postdoctoral Position in Advanced Biophysical Analysis (m/f/div),Max Planck Institute for the Science of Light (MPL),"Erlangen, Germany",2 months ago
Officer for Science Communication,Jülich Research Centre (FZJ),"Freiburg, Germany",6 days ago
Research Assistant / Postdoc (m/f/d) – Deformation and damage…,Federal Institute for Materials Research and Testing (BAM),"Berlin, Germany",4 hours ago
Postdoctoral Position (all genders) in  Extrachromosomal DNA in…,BioMed X Institute,"Heidelberg, Germany",1 month ago
junior professorship position (m/f/d) in Single Cell Biology,University of Würzburg,"Würzburg, Germany",3 weeks ago
Postdoc - spatial transcriptomics/single cell genomics/machine…,Helmholtz Munich,"Neuherberg (bei München), Germany",3 months ago
Postdoctoral Fellow in Analysis and Modeling of Transport of Complex…,Helmholtz Munich,"Neuherberg (bei München), Germany",2 weeks ago
Postdoctoral positions in the research group Synaptic Transmission in…,Max Planck Institute for Metabolism Research,"Cologne, Germany",2 months ago
Postdoctoral Positions in the Research Group Synaptic Transmission in…,Max Planck Institute for Metabolism Research,"Köln, Germany",5 months ago
"W3 - Professorship for ""Biological Data Science"" (f/m/d)…",University of Göttingen,"Göttingen, Germany",6 days ago
Postdoc for the development of instrumentation for high-resolution…,Helmholtz Munich,"Neuherberg (bei München), Germany",3 weeks ago
PhD Student (f/m/d) Dynamics of fiber-laden drops / Excellent…,Helmholtz-Zentrum Dresden-Rossendorf (HZDR),"Dresden Rossendorf, Germany",2 weeks ago
PhD Student (m/f/d),Essen University Hospital,"Essen, Germany",3 weeks ago
PhD Student (m/f/d),Bernhard Nocht Institute for Tropical Medicine (BNITM),"Hamburg, Germany",16 minutes ago
Postdoc – Fully coupled regional reanalysis,Jülich Research Centre (FZJ),"Jülich, Germany",2 weeks ago
Software Engineer,Jülich Research Centre (FZJ),"Jülich, Germany",6 months ago
PhD Student (f/m/d) in the field of translational biophysics / Master…,Helmholtz-Zentrum Dresden-Rossendorf (HZDR),"Potsdam, Germany",1 month ago
Postdoc in Machine Learning for Spatial Multi-omics of Glioblastoma,German Cancer Research Center in the Helmholtz Association (DKFZ),"Heidelberg, Germany",6 days ago
Staff Research Engineer (f/m/x),Helmholtz Munich,"Neuherberg (bei München), Germany",3 weeks ago
Scientific Writer (f/m/x),Helmholtz Munich,"Neuherberg (bei München), Germany",2 weeks ago
PhD Student (f/m/d) Spatially resolved solid state polymorph…,Helmholtz-Zentrum Dresden-Rossendorf (HZDR),"Dresden Rossendorf, Germany",3 weeks ago
Postdoc in data analysis for medical sensors (f/m/x),Helmholtz Munich,"Neuherberg (bei München), Germany",2 months ago
"PostDoc position (m/f/d) in ""Shapes and sequences: Accurate…",Alfred Wegener Institute - Helmholtz Centre for Polar and Marine Research (AWI),"Oldenburg, Germany",2 months ago
Postdoc (m/f/d) in assessment of climate forcing impact of Carbon…,Helmholtz Centre for Ocean Research Kiel (GEOMAR),"Kiel, Germany",4 days ago
Controls Software Engineer for PETRA IV fast feedback-systems,German Electron Synchrotron (DESY),"Hamburg, Germany",8 months ago
Senior Research Scientist (m/f/d) - Manager for Drug Development…,Evotec SE,"Göttingen, Germany",4 months ago
Postdoc – Global Energy Systems Modeling,Jülich Research Centre (FZJ),"Jülich, Germany",3 months ago
HPC application expert (m/f/div),Max Planck Computing and Data Facility (MPCDF),"Garching bei München, Germany",3 weeks ago
JUNIOR RESEARCH GROUP LEADER IN PRECISION MEDICINE OF CYSTIC FIBROSIS,Charité - University Medicine Berlin,"Berlin, Germany",1 month ago
Group Leader (f/m/d) CRISPR/RNAi Technology for Target Identification…,Evotec SE,"Hamburg, Germany",10 months ago
Specialist Computational Biology (f/m/x),Helmholtz Munich,"Neuherberg (bei München), Germany",3 months ago
PhD candidate - Research Unit Molecular Pharmacology (f/m/x),Helmholtz Munich,"Neuherberg (bei München), Germany",6 days ago
PostDoctoral Scientist (f_m_x),Helmholtz Centre Potsdam - German Research Centre for Geosciences (GFZ),"Potsdam, Germany",5 days ago
PostDoc – Precision Medicine and human Proteomics,Charité - University Medicine Berlin,"Berlin, Germany",1 month ago
Seismologist - Ground Motion Modeller (f_m_x),Helmholtz Centre Potsdam - German Research Centre for Geosciences (GFZ),"Potsdam, Germany",2 months ago
Scientist P21.2 / PETRA III,German Electron Synchrotron (DESY),"Hamburg, Germany",2 months ago
